outcode,Total households,One Person household,Single family Household,Other household type
HR8,6593,2120,4206,267
HR9,8953,2849,5714,390
HU1,4066,2510,1369,187
HU10,9182,2687,6294,201
HU11,7841,2080,5468,293
HU12,10968,3138,7441,389
HU13,6685,2028,4415,242
HU14,3761,892,2742,127
HU15,10095,2655,7131,309
HU16,7447,2486,4773,188
HU17,18696,5971,12220,505
HU18,3713,1166,2384,163
HU19,3094,1015,1936,143
HU2,1832,851,876,105
HU20,127,37,87,3
HU3,13135,5153,6978,1004
HU4,10509,3408,6683,418
HU5,21880,7697,12339,1844
HU6,13659,4175,8450,1034
HU7,19914,5516,13539,859
HU8,15153,4765,9803,585
HU9,17095,5846,10495,754
HX1,12379,4472,6803,1104
HX2,16000,4916,10416,668
HX3,18050,6031,11394,625
HX4,4664,1335,3170,159
HX5,3875,1315,2408,152
HX6,8067,2622,5124,321
HX7,5946,2251,3470,225
IG1,22617,4489,14020,4108
IG10,13827,3785,9200,842
IG11,22191,5328,13652,3211
IG2,11158,2235,7120,1803
IG3,10349,2031,6172,2146
IG4,3074,531,1964,579
IG5,5769,1164,3775,830
IG6,11108,2805,6870,1433
IG7,8002,1813,5342,847
IG8,13647,3458,8939,1250
IG9,5019,1460,3277,282
IP1,18739,6199,11345,1195
IP10,4971,1364,3423,184
IP11,11463,4120,6866,477
IP12,11632,3647,7645,340
IP13,8654,2318,6027,309
IP14,18933,5167,13035,731
IP15,1514,635,829,50
IP16,3141,1105,1908,128
IP17,5602,1769,3617,216
IP18,2055,799,1206,50
IP19,4616,1582,2858,176
IP2,13803,4516,8549,738
IP20,3991,1241,2592,158
IP21,5477,1447,3798,232
IP22,10138,2980,6674,484
IP23,2795,741,1919,135
IP24,12290,3329,7982,979
IP25,9208,2523,6161,524
IP26,4390,1123,3023,244
IP27,8546,2763,5443,340
IP28,13387,4248,8574,565
IP29,3946,1009,2770,167
IP3,15419,4575,9846,998
IP30,6286,1575,4466,245
IP31,8480,2301,5860,319
IP32,7951,2542,5052,357
IP33,10525,4154,5934,437
IP4,15310,4944,9568,798
IP5,7314,2038,4985,291
IP6,7375,2159,4957,259
IP7,6610,1786,4580,244
IP8,4322,1211,2927,184
IP9,4875,1310,3409,156
KT1,11226,3568,6440,1218
KT10,9086,2022,6627,437
KT11,6643,1744,4527,372
KT12,17117,4948,11313,856
KT13,9134,2903,5861,370
KT14,5498,1571,3619,308
KT15,12223,3424,8047,752
KT16,8393,2624,5274,495
KT17,11756,2869,8098,789
KT18,8091,2239,5420,432
KT19,14124,3179,9851,1094
KT2,12946,3325,8589,1032
KT20,8083,2170,5467,446
KT21,5718,1441,4010,267
KT22,10022,2917,6625,480
KT23,4504,1348,2998,158
KT24,3194,684,2374,136
KT3,14968,3460,9954,1554
KT4,11059,2638,7641,780
KT5,8793,2553,5457,783
KT6,13210,3983,8282,945
KT7,3499,837,2516,146
KT8,8493,2366,5650,477
KT9,7677,1813,5209,655
L1,6463,3368,2140,955
L10,7083,2108,4634,341
L11,13685,4020,8815,850
L12,13398,4047,8658,693
L13,14824,5623,8195,1006
L14,12068,3806,7711,551
L15,12961,4224,6528,2209
L16,5657,1250,4164,243
L17,11757,5150,5768,839
L18,10115,2867,6670,578
L19,9881,3248,6142,491
L2,1769,968,586,215
L20,17387,6665,9669,1053
L21,10610,3818,6318,474
L22,6741,2521,3841,379
L23,12526,3817,8172,537
L24,7679,2442,4844,393
L25,15148,5575,9005,568
L26,6056,1743,4043,270
L27,2665,910,1619,136
L28,2754,1069,1541,144
L3,6708,3145,2884,679
L30,8878,2988,5477,413
L31,13229,3776,8922,531
L32,9412,3015,5822,575
L33,7413,2175,4796,442
L34,7390,2515,4592,283
L35,13171,3895,8721,555
L36,16362,5060,10527,775
L37,10028,2865,6831,332
L38,996,251,711,34
L39,12026,3543,7633,850
L4,18940,7239,10457,1244
L40,8504,2261,5882,361
L5,5409,2506,2552,351
