outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
KT2,1165042,3127.0,3.22
KT20,966383,3892.0,4.83
KT21,753243,2803.0,4.47
KT22,946558,7629.0,9.67
KT23,907233,2988.0,3.95
KT24,1139534,4306.0,4.53
KT3,798501,2613.0,3.93
KT4,629556,2901.0,5.53
KT5,634998,2966.0,5.61
KT6,591436,2419.0,4.91
KT7,811724,3813.0,5.64
KT8,648284,4005.0,7.41
KT9,454841,1821.0,4.8
L1,193525,1291.0,8.01
L10,205559,829.0,4.84
L11,145264,816.0,6.74
L12,309339,1267.0,4.91
L13,139825,867.0,7.44
L14,193816,759.0,4.7
L15,235009,1380.0,7.05
L16,377071,1250.0,3.98
L17,297009,1091.0,4.41
L18,448879,1405.0,3.76
L19,281110,954.0,4.07
L2,144297,1299.0,10.8
L20,120405,882.0,8.79
